"id","long","lat","avg_long","avg_lat"
1,-106.000555556,39.99944444,-105.499999998,40.499999998
1,-106.000555556,41.000555556,-105.499999998,40.499999998
1,-104.99944444,41.000555556,-105.499999998,40.499999998
1,-104.99944444,39.99944444,-105.499999998,40.499999998
2,-111.000555555,42.99944444,-110.499999997,43.499999998
2,-111.000555555,44.000555556,-110.499999997,43.499999998
2,-109.999444439,44.000555556,-110.499999997,43.499999998
2,-109.999444439,42.99944444,-110.499999997,43.499999998
3,-110.000555556,37.999444444,-109.5000000005,38.4999999995
3,-110.000555556,39.000555555,-109.5000000005,38.4999999995
3,-108.999444445,39.000555555,-109.5000000005,38.4999999995
3,-108.999444445,37.999444444,-109.5000000005,38.4999999995
4,-111.000555554,40.999444444,-110.4999999985,41.4999999995
4,-111.000555554,42.000555555,-110.4999999985,41.4999999995
4,-109.999444443,42.000555555,-110.4999999985,41.4999999995
4,-109.999444443,40.999444444,-110.4999999985,41.4999999995
5,-108.000555556,37.999444444,-107.5000000005,38.4999999995
5,-108.000555556,39.000555555,-107.5000000005,38.4999999995
5,-106.999444445,39.000555555,-107.5000000005,38.4999999995
5,-106.999444445,37.999444444,-107.5000000005,38.4999999995
6,-111.000555556,37.999444444,-110.5000000005,38.4999999995
6,-111.000555556,39.000555555,-110.5000000005,38.4999999995
6,-109.999444445,39.000555555,-110.5000000005,38.4999999995
6,-109.999444445,37.999444444,-110.5000000005,38.4999999995
7,-108.000555556,41.999444444,-107.5000000005,42.4999999995
7,-108.000555556,43.000555555,-107.5000000005,42.4999999995
7,-106.999444445,43.000555555,-107.5000000005,42.4999999995
7,-106.999444445,41.999444444,-107.5000000005,42.4999999995
8,-109.000555556,42.999444444,-108.5000000005,43.4999999995
8,-109.000555556,44.000555555,-108.5000000005,43.4999999995
8,-107.999444445,44.000555555,-108.5000000005,43.4999999995
8,-107.999444445,42.999444444,-108.5000000005,43.4999999995
9,-110.000555556,41.999444444,-109.5000000005,42.4999999995
9,-110.000555556,43.000555555,-109.5000000005,42.4999999995
9,-108.999444445,43.000555555,-109.5000000005,42.4999999995
9,-108.999444445,41.999444444,-109.5000000005,42.4999999995
10,-106.000555556,42.999444444,-105.5000000005,43.4999999995
10,-106.000555556,44.000555555,-105.5000000005,43.4999999995
10,-104.999444445,44.000555555,-105.5000000005,43.4999999995
10,-104.999444445,42.999444444,-105.5000000005,43.4999999995
11,-109.000555556,40.999444444,-108.5000000005,41.4999999995
11,-109.000555556,42.000555555,-108.5000000005,41.4999999995
11,-107.999444445,42.000555555,-108.5000000005,41.4999999995
11,-107.999444445,40.999444444,-108.5000000005,41.4999999995
12,-111.000555556,41.999444444,-110.5000000005,42.4999999995
12,-111.000555556,43.000555555,-110.5000000005,42.4999999995
12,-109.999444445,43.000555555,-110.5000000005,42.4999999995
12,-109.999444445,41.999444444,-110.5000000005,42.4999999995
13,-109.000555556,39.999444444,-108.5000000005,40.4999999995
13,-109.000555556,41.000555555,-108.5000000005,40.4999999995
13,-107.999444445,41.000555555,-108.5000000005,40.4999999995
13,-107.999444445,39.999444444,-108.5000000005,40.4999999995
14,-110.000555556,40.999444444,-109.5000000005,41.4999999995
14,-110.000555556,42.000555555,-109.5000000005,41.4999999995
14,-108.999444445,42.000555555,-109.5000000005,41.4999999995
14,-108.999444445,40.999444444,-109.5000000005,41.4999999995
15,-110.000555556,42.999444444,-109.5000000005,43.4999999995
15,-110.000555556,44.000555555,-109.5000000005,43.4999999995
15,-108.999444445,44.000555555,-109.5000000005,43.4999999995
15,-108.999444445,42.999444444,-109.5000000005,43.4999999995
16,-106.000555556,37.999444444,-105.5000000005,38.4999999995
16,-106.000555556,39.000555555,-105.5000000005,38.4999999995
16,-104.999444445,39.000555555,-105.5000000005,38.4999999995
16,-104.999444445,37.999444444,-105.5000000005,38.4999999995
17,-106.000555556,41.999444444,-105.5000000005,42.4999999995
17,-106.000555556,43.000555555,-105.5000000005,42.4999999995
17,-104.999444445,43.000555555,-105.5000000005,42.4999999995
17,-104.999444445,41.999444444,-105.5000000005,42.4999999995
18,-106.000555556,38.999444445,-105.5000000005,39.5
18,-106.000555556,40.000555555,-105.5000000005,39.5
18,-104.999444445,40.000555555,-105.5000000005,39.5
18,-104.999444445,38.999444445,-105.5000000005,39.5
19,-109.000555555,37.999444444,-108.5,38.4999999995
19,-109.000555555,39.000555555,-108.5,38.4999999995
19,-107.999444445,39.000555555,-108.5,38.4999999995
19,-107.999444445,37.999444444,-108.5,38.4999999995
20,-113.000555555,37.999444444,-112.5,38.4999999995
20,-113.000555555,39.000555555,-112.5,38.4999999995
20,-111.999444445,39.000555555,-112.5,38.4999999995
20,-111.999444445,37.999444444,-112.5,38.4999999995
21,-113.000555555,41.999444445,-112.5,42.5
21,-113.000555555,43.000555555,-112.5,42.5
21,-111.999444445,43.000555555,-112.5,42.5
21,-111.999444445,41.999444445,-112.5,42.5
22,-107.000555555,38.999444445,-106.5,39.5
22,-107.000555555,40.000555555,-106.5,39.5
22,-105.999444445,40.000555555,-106.5,39.5
22,-105.999444445,38.999444445,-106.5,39.5
23,-107.000555555,40.999444445,-106.5,41.5
23,-107.000555555,42.000555555,-106.5,41.5
23,-105.999444445,42.000555555,-106.5,41.5
23,-105.999444445,40.999444445,-106.5,41.5
24,-108.000555555,40.999444445,-107.5,41.5
24,-108.000555555,42.000555555,-107.5,41.5
24,-106.999444445,42.000555555,-107.5,41.5
24,-106.999444445,40.999444445,-107.5,41.5
25,-107.000555555,42.999444444,-106.5,43.4999999995
25,-107.000555555,44.000555555,-106.5,43.4999999995
25,-105.999444445,44.000555555,-106.5,43.4999999995
25,-105.999444445,42.999444444,-106.5,43.4999999995
26,-109.000555555,38.999444445,-108.5,39.5
26,-109.000555555,40.000555555,-108.5,39.5
26,-107.999444445,40.000555555,-108.5,39.5
26,-107.999444445,38.999444445,-108.5,39.5
27,-111.000555556,36.999444444,-110.5000000005,37.4999999995
27,-111.000555556,38.000555555,-110.5000000005,37.4999999995
27,-109.999444445,38.000555555,-110.5000000005,37.4999999995
27,-109.999444445,36.999444444,-110.5000000005,37.4999999995
28,-107.000555556,36.999444444,-106.5000000005,37.4999999995
28,-107.000555556,38.000555555,-106.5000000005,37.4999999995
28,-105.999444445,38.000555555,-106.5000000005,37.4999999995
28,-105.999444445,36.999444444,-106.5000000005,37.4999999995
29,-108.000555555,36.999444445,-107.5,37.5
29,-108.000555555,38.000555555,-107.5,37.5
29,-106.999444445,38.000555555,-107.5,37.5
29,-106.999444445,36.999444445,-107.5,37.5
30,-111.000555555,43.99944444,-110.499999997,44.499999998
30,-111.000555555,45.000555556,-110.499999997,44.499999998
30,-109.999444439,45.000555556,-110.499999997,44.499999998
30,-109.999444439,43.99944444,-110.499999997,44.499999998
31,-113.000555556,43.999444444,-112.5000000005,44.4999999995
31,-113.000555556,45.000555555,-112.5000000005,44.4999999995
31,-111.999444445,45.000555555,-112.5000000005,44.4999999995
31,-111.999444445,43.999444444,-112.5000000005,44.4999999995
32,-112.000555556,43.999444444,-111.5000000005,44.4999999995
32,-112.000555556,45.000555555,-111.5000000005,44.4999999995
32,-110.999444445,45.000555555,-111.5000000005,44.4999999995
32,-110.999444445,43.999444444,-111.5000000005,44.4999999995
33,-105.000555555,39.99944444,-104.499999997,40.499999998
33,-105.000555555,41.000555556,-104.499999997,40.499999998
33,-103.999444439,41.000555556,-104.499999997,40.499999998
33,-103.999444439,39.99944444,-104.499999997,40.499999998
34,-105.000555556,36.999444444,-104.5000000005,37.4999999995
34,-105.000555556,38.000555555,-104.5000000005,37.4999999995
34,-103.999444445,38.000555555,-104.5000000005,37.4999999995
34,-103.999444445,36.999444444,-104.5000000005,37.4999999995
35,-105.000555556,43.999444444,-104.5000000005,44.4999999995
35,-105.000555556,45.000555555,-104.5000000005,44.4999999995
35,-103.999444445,45.000555555,-104.5000000005,44.4999999995
35,-103.999444445,43.999444444,-104.5000000005,44.4999999995
36,-114.000555556,39.999444444,-113.5000000005,40.4999999995
36,-114.000555556,41.000555555,-113.5000000005,40.4999999995
36,-112.999444445,41.000555555,-113.5000000005,40.4999999995
36,-112.999444445,39.999444444,-113.5000000005,40.4999999995
37,-114.000555556,38.999444444,-113.5000000005,39.4999999995
37,-114.000555556,40.000555555,-113.5000000005,39.4999999995
37,-112.999444445,40.000555555,-113.5000000005,39.4999999995
37,-112.999444445,38.999444444,-113.5000000005,39.4999999995
38,-114.000555556,42.999444444,-113.5000000005,43.4999999995
38,-114.000555556,44.000555555,-113.5000000005,43.4999999995
38,-112.999444445,44.000555555,-113.5000000005,43.4999999995
38,-112.999444445,42.999444444,-113.5000000005,43.4999999995
39,-114.000555555,40.999444445,-113.5,41.5
39,-114.000555555,42.000555555,-113.5,41.5
39,-112.999444445,42.000555555,-113.5,41.5
39,-112.999444445,40.999444445,-113.5,41.5
40,-114.000555555,36.999444445,-113.5,37.5
40,-114.000555555,38.000555555,-113.5,37.5
40,-112.999444445,38.000555555,-113.5,37.5
40,-112.999444445,36.999444445,-113.5,37.5
41,-113.000555555,38.999444444,-112.4999999995,39.4999999995
41,-113.000555555,40.000555555,-112.4999999995,39.4999999995
41,-111.999444444,40.000555555,-112.4999999995,39.4999999995
41,-111.999444444,38.999444444,-112.4999999995,39.4999999995
42,-111.000555556,39.999444444,-110.5000000005,40.4999999995
42,-111.000555556,41.000555555,-110.5000000005,40.4999999995
42,-109.999444445,41.000555555,-110.5000000005,40.4999999995
42,-109.999444445,39.999444444,-110.5000000005,40.4999999995
43,-107.000555556,37.999444444,-106.5000000005,38.4999999995
43,-107.000555556,39.000555555,-106.5000000005,38.4999999995
43,-105.999444445,39.000555555,-106.5000000005,38.4999999995
43,-105.999444445,37.999444444,-106.5000000005,38.4999999995
44,-110.000555556,39.999444444,-109.5000000005,40.4999999995
44,-110.000555556,41.000555555,-109.5000000005,40.4999999995
44,-108.999444445,41.000555555,-109.5000000005,40.4999999995
44,-108.999444445,39.999444444,-109.5000000005,40.4999999995
45,-108.000555556,42.999444444,-107.5000000005,43.4999999995
45,-108.000555556,44.000555555,-107.5000000005,43.4999999995
45,-106.999444445,44.000555555,-107.5000000005,43.4999999995
45,-106.999444445,42.999444444,-107.5000000005,43.4999999995
46,-113.000555556,42.999444444,-112.5000000005,43.4999999995
46,-113.000555556,44.000555555,-112.5000000005,43.4999999995
46,-111.999444445,44.000555555,-112.5000000005,43.4999999995
46,-111.999444445,42.999444444,-112.5000000005,43.4999999995
47,-107.000555556,39.999444444,-106.5000000005,40.4999999995
47,-107.000555556,41.000555555,-106.5000000005,40.4999999995
47,-105.999444445,41.000555555,-106.5000000005,40.4999999995
47,-105.999444445,39.999444444,-106.5000000005,40.4999999995
48,-111.000555556,38.999444444,-110.5000000005,39.4999999995
48,-111.000555556,40.000555555,-110.5000000005,39.4999999995
48,-109.999444445,40.000555555,-110.5000000005,39.4999999995
48,-109.999444445,38.999444444,-110.5000000005,39.4999999995
49,-106.000555556,40.999444444,-105.5000000005,41.4999999995
49,-106.000555556,42.000555555,-105.5000000005,41.4999999995
49,-104.999444445,42.000555555,-105.5000000005,41.4999999995
49,-104.999444445,40.999444444,-105.5000000005,41.4999999995
50,-109.000555556,41.999444444,-108.5000000005,42.4999999995
50,-109.000555556,43.000555555,-108.5000000005,42.4999999995
50,-107.999444445,43.000555555,-108.5000000005,42.4999999995
50,-107.999444445,41.999444444,-108.5000000005,42.4999999995
51,-112.000555556,42.999444444,-111.5000000005,43.4999999995
51,-112.000555556,44.000555555,-111.5000000005,43.4999999995
51,-110.999444445,44.000555555,-111.5000000005,43.4999999995
51,-110.999444445,42.999444444,-111.5000000005,43.4999999995
52,-110.000555556,38.999444445,-109.5000000005,39.5
52,-110.000555556,40.000555555,-109.5000000005,39.5
52,-108.999444445,40.000555555,-109.5000000005,39.5
52,-108.999444445,38.999444445,-109.5000000005,39.5
53,-112.000555555,37.999444444,-111.5,38.4999999995
53,-112.000555555,39.000555555,-111.5,38.4999999995
53,-110.999444445,39.000555555,-111.5,38.4999999995
53,-110.999444445,37.999444444,-111.5,38.4999999995
54,-112.000555555,41.999444445,-111.5,42.5
54,-112.000555555,43.000555555,-111.5,42.5
54,-110.999444445,43.000555555,-111.5,42.5
54,-110.999444445,41.999444445,-111.5,42.5
55,-107.000555555,41.999444445,-106.5,42.5
55,-107.000555555,43.000555555,-106.5,42.5
55,-105.999444445,43.000555555,-106.5,42.5
55,-105.999444445,41.999444445,-106.5,42.5
56,-108.000555555,38.999444445,-107.5,39.5
56,-108.000555555,40.000555555,-107.5,39.5
56,-106.999444445,40.000555555,-107.5,39.5
56,-106.999444445,38.999444445,-107.5,39.5
57,-112.000555555,38.999444445,-111.5,39.5
57,-112.000555555,40.000555555,-111.5,39.5
57,-110.999444445,40.000555555,-111.5,39.5
57,-110.999444445,38.999444445,-111.5,39.5
58,-112.000555555,40.999444445,-111.5,41.5
58,-112.000555555,42.000555555,-111.5,41.5
58,-110.999444445,42.000555555,-111.5,41.5
58,-110.999444445,40.999444445,-111.5,41.5
59,-112.000555555,39.999444445,-111.5,40.5
59,-112.000555555,41.000555555,-111.5,40.5
59,-110.999444445,41.000555555,-111.5,40.5
59,-110.999444445,39.999444445,-111.5,40.5
60,-108.000555555,39.999444445,-107.5,40.5
60,-108.000555555,41.000555555,-107.5,40.5
60,-106.999444445,41.000555555,-107.5,40.5
60,-106.999444445,39.999444445,-107.5,40.5
61,-113.000555555,40.999444445,-112.5,41.5
61,-113.000555555,42.000555555,-112.5,41.5
61,-111.999444445,42.000555555,-112.5,41.5
61,-111.999444445,40.999444445,-112.5,41.5
62,-113.000555555,39.999444445,-112.5,40.5
62,-113.000555555,41.000555555,-112.5,40.5
62,-111.999444445,41.000555555,-112.5,40.5
62,-111.999444445,39.999444445,-112.5,40.5
63,-112.000555556,36.999444444,-111.5000000005,37.4999999995
63,-112.000555556,38.000555555,-111.5000000005,37.4999999995
63,-110.999444445,38.000555555,-111.5000000005,37.4999999995
63,-110.999444445,36.999444444,-111.5000000005,37.4999999995
64,-106.000555556,36.999444444,-105.5000000005,37.4999999995
64,-106.000555556,38.000555555,-105.5000000005,37.4999999995
64,-104.999444445,38.000555555,-105.5000000005,37.4999999995
64,-104.999444445,36.999444444,-105.5000000005,37.4999999995
65,-110.000555556,36.999444444,-109.5000000005,37.4999999995
65,-110.000555556,38.000555555,-109.5000000005,37.4999999995
65,-108.999444445,38.000555555,-109.5000000005,37.4999999995
65,-108.999444445,36.999444444,-109.5000000005,37.4999999995
66,-109.000555555,36.999444445,-108.5,37.5
66,-109.000555555,38.000555555,-108.5,37.5
66,-107.999444445,38.000555555,-108.5,37.5
66,-107.999444445,36.999444445,-108.5,37.5
67,-113.000555555,36.999444445,-112.5,37.5
67,-113.000555555,38.000555555,-112.5,37.5
67,-111.999444445,38.000555555,-112.5,37.5
67,-111.999444445,36.999444445,-112.5,37.5
68,-110.000555556,43.999444444,-109.5000000005,44.4999999995
68,-110.000555556,45.000555555,-109.5000000005,44.4999999995
68,-108.999444445,45.000555555,-109.5000000005,44.4999999995
68,-108.999444445,43.999444444,-109.5000000005,44.4999999995
69,-108.000555556,43.999444444,-107.5000000005,44.4999999995
69,-108.000555556,45.000555555,-107.5000000005,44.4999999995
69,-106.999444445,45.000555555,-107.5000000005,44.4999999995
69,-106.999444445,43.999444444,-107.5000000005,44.4999999995
70,-107.000555556,43.999444444,-106.5000000005,44.4999999995
70,-107.000555556,45.000555555,-106.5000000005,44.4999999995
70,-105.999444445,45.000555555,-106.5000000005,44.4999999995
70,-105.999444445,43.999444444,-106.5000000005,44.4999999995
71,-106.000555556,43.999444444,-105.5000000005,44.4999999995
71,-106.000555556,45.000555555,-105.5000000005,44.4999999995
71,-104.999444445,45.000555555,-105.5000000005,44.4999999995
71,-104.999444445,43.999444444,-105.5000000005,44.4999999995
72,-109.000555556,43.999444444,-108.5000000005,44.4999999995
72,-109.000555556,45.000555555,-108.5000000005,44.4999999995
72,-107.999444445,45.000555555,-108.5000000005,44.4999999995
72,-107.999444445,43.999444444,-108.5000000005,44.4999999995
73,-105.000555556,37.999444444,-104.5000000005,38.4999999995
73,-105.000555556,39.000555555,-104.5000000005,38.4999999995
73,-103.999444445,39.000555555,-104.5000000005,38.4999999995
73,-103.999444445,37.999444444,-104.5000000005,38.4999999995
74,-105.000555556,42.999444444,-104.5000000005,43.4999999995
74,-105.000555556,44.000555555,-104.5000000005,43.4999999995
74,-103.999444445,44.000555555,-104.5000000005,43.4999999995
74,-103.999444445,42.999444444,-104.5000000005,43.4999999995
75,-105.000555555,41.999444445,-104.5,42.5
75,-105.000555555,43.000555555,-104.5,42.5
75,-103.999444445,43.000555555,-104.5,42.5
75,-103.999444445,41.999444445,-104.5,42.5
76,-105.000555555,38.999444445,-104.5,39.5
76,-105.000555555,40.000555555,-104.5,39.5
76,-103.999444445,40.000555555,-104.5,39.5
76,-103.999444445,38.999444445,-104.5,39.5
77,-105.000555555,40.999444445,-104.5,41.5
77,-105.000555555,42.000555555,-104.5,41.5
77,-103.999444445,42.000555555,-104.5,41.5
77,-103.999444445,40.999444445,-104.5,41.5
78,-114.000555555,37.999444444,-113.5,38.4999999995
78,-114.000555555,39.000555555,-113.5,38.4999999995
78,-112.999444445,39.000555555,-113.5,38.4999999995
78,-112.999444445,37.999444444,-113.5,38.4999999995
79,-114.000555555,41.999444445,-113.5,42.5
79,-114.000555555,43.000555555,-113.5,42.5
79,-112.999444445,43.000555555,-113.5,42.5
79,-112.999444445,41.999444445,-113.5,42.5
80,-114.000555556,43.999444444,-113.5000000005,44.4999999995
80,-114.000555556,45.000555555,-113.5000000005,44.4999999995
80,-112.999444445,45.000555555,-113.5000000005,44.4999999995
80,-112.999444445,43.999444444,-113.5000000005,44.4999999995
